,x (mm),alfa (1/m),beta (T/A)
167,0.167,2.9851032437749663e-05,0
168,0.168,2.6093960999999937e-05,0
169,0.169,2.3197077846151134e-05,0
170,0.17,2.125802473377746e-05,0
171,0.171,1.932016001054046e-05,0
172,0.17200000000000001,1.738387929974509e-05,0
173,0.17300000000000001,1.5466251985106826e-05,0
174,0.17400000000000002,1.434882150924757e-05,0
175,0.17500000000000002,1.3231880385653086e-05,0
176,0.176,1.2119535620176747e-05,0
177,0.177,1.1013191349635856e-05,0
178,0.178,1.0060176444150865e-05,0
179,0.179,9.204188576061879e-06,0
180,0.18,8.35166132647276e-06,0
181,0.181,7.503781695864738e-06,0
182,0.182,6.6700038545038265e-06,0
183,0.183,6.024293251556249e-06,0
184,0.184,5.245115866988994e-06,0
185,0.185,4.467987622045968e-06,0
186,0.186,3.7888194844258975e-06,0
187,0.187,3.05253936926846e-06,0
188,0.188,2.2283321083531106e-06,0
189,0.189,1.4268737949501987e-06,0
190,0.19,8.948022727401383e-07,0
191,0.191,6.188452260688159e-07,0
192,0.192,8.430602267294902e-07,0
193,0.193,1.0438051832469329e-06,0
194,0.194,1.3023275112951463e-06,0
195,0.195,1.689220799072019e-06,0
196,0.196,1.999504655899702e-06,0
197,0.197,2.338812007668909e-06,0
198,0.198,2.736966832809619e-06,0
199,0.199,3.0701154551568547e-06,0
200,0.2,3.344670336517753e-06,0
201,0.201,3.503565263249005e-06,0
202,0.202,3.6599544372280546e-06,0
203,0.203,3.7993168083015947e-06,0
204,0.20400000000000001,3.780893385467681e-06,0
205,0.20500000000000002,3.9008250519509464e-06,0
206,0.20600000000000002,4.020830591437263e-06,0
207,0.20700000000000002,4.050573428615864e-06,0
208,0.20800000000000002,4.083850898581788e-06,0
209,0.209,3.969679974929309e-06,0
210,0.21,3.837115150000002e-06,0
211,0.211,3.7541246466747727e-06,0
212,0.212,3.5546064251234412e-06,0
213,0.213,3.346368201882078e-06,0
214,0.214,3.137000272970602e-06,0
215,0.215,2.926303385333534e-06,0
216,0.216,2.6613095556887054e-06,0
217,0.217,2.3032142034721135e-06,0
218,0.218,1.9706939054924826e-06,0
219,0.219,1.6628445445228368e-06,0
220,0.22,1.6068771696114135e-06,0
221,0.221,1.6091961498586181e-06,0
222,0.222,1.6287997063328862e-06,0
223,0.223,1.7389422655008784e-06,0
224,0.224,2.10094508e-06,0
225,0.225,2.4846062496932342e-06,0
226,0.226,2.625003446286256e-06,0
227,0.227,2.770785997408852e-06,0
228,0.228,2.9302717779753446e-06,0
229,0.229,3.108135192717079e-06,0
230,0.23,3.303850548797948e-06,0
231,0.231,3.514434261690785e-06,0
232,0.232,3.733478724418836e-06,0
233,0.233,3.925811806704944e-06,0
234,0.234,4.159036248261859e-06,0
235,0.23500000000000001,4.415777531128061e-06,0
236,0.23600000000000002,4.692220213944738e-06,0
237,0.23700000000000002,4.960919277509133e-06,0
238,0.23800000000000002,5.111568910619077e-06,0
239,0.23900000000000002,5.265554734408983e-06,0
240,0.24,5.422592531207958e-06,0
241,0.241,5.585191546340982e-06,0
242,0.242,5.7259348172357946e-06,0
243,0.243,5.813127920133237e-06,0
244,0.244,5.901607605238578e-06,0
245,0.245,5.991316936380335e-06,0
246,0.246,6.098584381656524e-06,0
247,0.247,6.253334617467221e-06,0
248,0.248,6.315901281444668e-06,0
249,0.249,6.327203611700544e-06,0
250,0.25,6.414134138524271e-06,0
251,0.251,6.3633388888445225e-06,0
252,0.252,6.3152943744903826e-06,0
253,0.253,6.18780952257409e-06,0
254,0.254,6.0535556049788485e-06,0
255,0.255,5.920064803983401e-06,0
256,0.256,5.737019572187459e-06,0
257,0.257,5.4496558849046805e-06,0
258,0.258,5.163213287657447e-06,0
259,0.259,4.819962093909866e-06,0
260,0.26,4.444017865780983e-06,0
261,0.261,4.0290275764906455e-06,0
262,0.262,3.600041201528951e-06,0
263,0.263,3.108648355845074e-06,0
264,0.264,2.804780737232117e-06,0
265,0.265,2.64946659973737e-06,0
266,0.266,2.5238659162336673e-06,0
267,0.267,2.4489632090871313e-06,0
268,0.268,2.5244434929486427e-06,0
269,0.269,2.6229673768239695e-06,0
270,0.27,2.801466899570183e-06,0
271,0.271,2.9254023215436374e-06,0
272,0.272,3.0401611804389273e-06,0
273,0.273,3.2003076801274683e-06,0
274,0.274,3.42677557509667e-06,0
275,0.275,3.6706457177674747e-06,0
276,0.276,3.932025591168759e-06,0
277,0.277,4.064570794470247e-06,0
278,0.278,4.13505687725376e-06,0
279,0.279,3.028243749527055e-06,0
